捕获时间,间隔,源IP,源端口,目的IP,目的端口,消息内容
2017/12/8 14:57:11,6.9399958,20.28.11.2,50003,20.15.4.2,50003,00 78 00 94 16 2D 00 03 35 A9 35 00 00 04 14 00 00 02 1E 1E 02 14 04 01 FF 00 55 AA FF FF AA B6 11 3E D4 58 10 46 B0 FF FF FF 1E 01 25 03 00 DA 00 00 22 F3 AA 00 C8 00 00 00 00 AA 04 04 00 2C 01 01 04 00 28 01 01 02 00 04 AA AA 03 00 04 AA AA 00 FF FF FF FF FF FF FF FF 00 94 16 2D 00 03 35 AD FF FF 00 94 15 BA AA FF FF FF FF FF FF FF FF FF FF FF FF FF A4 5D 1D F9 
2017/12/8 14:57:11,6.8462426,20.28.19.20,50002,20.15.4.2,50002,01 80 04 00 0D 00 77 79 C5 00 36 00 65 79 87 8C 12 80 B4 95 3C 04 14 04 02 00 04 55 00 00 00 00 00 00 00 00 00 AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 55 AA 00 00 00 00 00 00 00 00 A1 62 
2017/12/8 14:57:11,6.8462426,20.28.19.20,50002,20.15.10.2,50002,01 80 04 00 13 00 77 79 C5 00 36 00 7C E1 A7 B6 C4 E7 4E 09 3C 04 14 0A 02 00 0C 55 00 00 00 00 00 00 00 00 00 AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 55 AA 00 00 00 00 00 00 00 00 A6 E0 
2017/12/8 14:57:11,6.8306153,20.28.25.20,50002,20.15.16.2,50002,01 80 02 00 19 00 7E 72 C5 00 36 00 D1 72 E4 ED 3C D5 F3 60 3C 02 14 10 02 00 09 AA 55 00 00 00 00 00 00 FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 55 AA 00 00 00 00 00 00 00 00 12 E2 
2017/12/8 14:57:11,6.8306153,20.28.25.20,50002,20.15.7.2,50002,01 80 02 00 10 00 7E 72 C5 00 36 00 8D 3A 46 E8 37 0D 48 DA 3C 02 14 07 02 00 01 55 00 00 00 00 00 00 00 00 00 AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 55 AA 00 00 00 00 00 00 00 00 BB 63 
2017/12/8 14:57:11,6.8306166,20.28.15.20,50002,20.15.11.2,50002,01 80 05 00 14 00 5F 4B C5 00 36 00 D6 EC 58 42 09 C4 A2 36 3C 05 14 0B 02 00 0E 55 00 00 00 00 00 00 00 00 00 AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 55 AA 00 00 00 00 00 00 00 00 0D 62 
2017/12/8 14:57:11,6.8306166,20.28.15.20,50002,20.15.9.2,50002,01 80 05 00 12 00 5F 4B C5 00 36 00 9A 8E C2 37 44 82 C5 F7 3C 05 14 09 02 00 06 55 00 00 00 00 00 00 00 00 00 AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 55 AA 00 00 00 00 00 00 00 00 9A 74 
2017/12/8 14:57:11,6.7524903,20.15.13.2,50003,20.28.37.2,50003,00 5C 00 03 35 AC 00 94 1E 77 35 00 00 01 1E 00 00 0D 14 14 0D 1E 01 01 FF 00 55 55 00 41 00 00 3B 6D 00 41 00 00 30 0A 00 41 00 00 10 F7 55 55 07 03 00 00 55 00 C8 00 00 00 00 55 55 55 AA FF FF FF FF FF FF FF 1E 01 00 03 35 AF FF FF 00 93 42 90 FF FF FF FF FF FF FF FF 50 F0 9F F3 
2017/12/8 14:57:11,6.7524903,20.15.1.2,50003,20.28.37.2,50003,00 5C 00 01 CC F4 00 94 1E 77 35 00 00 01 1E 00 00 01 14 14 01 1E 01 01 FF 00 55 55 00 49 00 00 31 8D 00 49 00 00 2F F2 00 49 00 00 10 DF 55 AA 07 03 00 00 55 00 CC 00 48 00 00 55 55 55 AA FF FF FF FF FF FF FF 1E 01 00 01 CC F8 FF FF 00 93 58 30 FF FF FF FF FF FF FF FF 13 7A 6A 61 
2017/12/8 14:57:11,6.7368638,20.15.1.2,50002,20.28.37.20,50002,01 80 0A 00 01 00 F8 CC 01 00 2A 00 E7 98 21 A9 85 40 42 5F 14 01 3C 01 02 FF FF 00 FF FF 00 01 00 00 00 00 00 00 00 00 AA AA AA AA FF FF FF FF FF FF FF FF FF FF C4 06 
2017/12/8 15:01:10,2.6999598,20.28.25.20,50002,20.15.7.2,50002,01 80 02 00 10 00 99 75 C5 00 36 00 3B D8 3C 06 44 33 AB 99 3C 02 14 07 02 FF FF AA 00 FF FF FF FF FF FF FF FF AA FF FF AA 00 FF FF FF FF FF FF FF FF AA AA AA AA AA 55 AA AA 00 00 00 00 00 00 00 00 25 51 
